,Source time,FPR,TNR,FNR,TPR,Target time
0,267.7264724,0.631402745,0.368597255,0.067479675,0.932520325,0.760755689
1,207.1508695,0.615667894,0.384332106,0.078861789,0.921138211,0.293339517
2,222.5928486,0.613324406,0.386675594,0.075609756,0.924390244,0.396350349
3,225.2001147,0.647807164,0.352192836,0.056910569,0.943089431,0.446538284
4,224.3204335,0.638098427,0.361901573,0.061788618,0.938211382,0.309042822
5,223.4518848,0.67793773,0.32206227,0.058536585,0.941463415,0.2928748
6,205.1641927,0.644459324,0.355540676,0.065853659,0.934146341,0.397362453
7,225.7047907,0.58486776,0.41513224,0.100813008,0.899186992,0.424391601
8,201.8595765,0.548376297,0.451623703,0.106504065,0.893495935,0.404066208
9,226.3499999,0.659189823,0.340810177,0.06097561,0.93902439,0.322091273
10,240.8194126,0.670237697,0.329762303,0.056097561,0.943902439,0.764242566
11,225.8317922,0.590893873,0.409106127,0.084552846,0.915447154,0.402274315
12,238.5467693,0.64579846,0.35420154,0.073170732,0.926829268,0.44237899
13,219.0843752,0.607967861,0.392032139,0.07398374,0.92601626,0.394906956
14,203.0621742,0.643454972,0.356545028,0.064227642,0.935772358,0.459808474
15,267.9917691,0.610646133,0.389353867,0.08699187,0.91300813,0.767007846
16,254.3503094,0.604285236,0.395714764,0.075609756,0.924390244,0.320871749
17,244.8675978,0.616672246,0.383327754,0.07804878,0.92195122,0.398438254
18,248.0330347,0.568463341,0.431536659,0.096747967,0.903252033,0.40318207
19,228.162797,0.648141948,0.351858052,0.063414634,0.936585366,0.399097539
20,240.9313406,0.62437228,0.37562772,0.069918699,0.930081301,0.316781905
21,208.3881312,0.629394041,0.370605959,0.067479675,0.932520325,0.759191568
22,229.1897124,0.652159357,0.347840643,0.059349593,0.940650407,0.312389177
23,223.6069372,0.631067961,0.368932039,0.068292683,0.931707317,0.76284293
24,227.2922143,0.5420154,0.4579846,0.104878049,0.895121951,0.412512411
25,228.1092788,0.624037496,0.375962504,0.074796748,0.925203252,0.306365651
26,214.4917668,0.595915634,0.404084366,0.084552846,0.915447154,0.329733095
27,248.5410329,0.586541681,0.413458319,0.091056911,0.908943089,0.772902142
28,239.44003,0.650485437,0.349514563,0.064227642,0.935772358,0.302914513
29,268.0628166,0.630063609,0.369936391,0.06504065,0.93495935,0.406622594
30,265.469643,0.631402745,0.368597255,0.068292683,0.931707317,0.409833621
31,268.7265064,0.61533311,0.38466689,0.078861789,0.921138211,0.419987774
32,300.8029283,0.605624372,0.394375628,0.075609756,0.924390244,0.407321728
33,253.3044349,0.637094074,0.362905926,0.071544715,0.928455285,0.335271951
34,312.1776622,0.648476733,0.351523267,0.066666667,0.933333333,0.32809612
35,293.0228266,0.61700703,0.38299297,0.065853659,0.934146341,0.411164664
36,251.9879298,0.622363575,0.377636425,0.068292683,0.931707317,0.366160634
37,326.9411677,0.621359223,0.378640777,0.076422764,0.923577236,0.409155033
38,202.331584,0.614663542,0.385336458,0.076422764,0.923577236,0.27520611
39,194.7171982,0.602611316,0.397388684,0.082113821,0.917886179,0.290255837
40,197.1833661,0.630063609,0.369936391,0.072357724,0.927642276,0.279126545
41,207.9312328,0.666889856,0.333110144,0.062601626,0.937398374,0.403310505
42,192.8709249,0.597254771,0.402745229,0.080487805,0.919512195,0.281073228
43,197.4700458,0.56009374,0.43990626,0.100813008,0.899186992,0.397486845
44,202.0822268,0.632741881,0.367258119,0.063414634,0.936585366,0.396030324
45,182.5679434,0.643454972,0.356545028,0.066666667,0.933333333,0.393325378
46,200.7780749,0.594576498,0.405423502,0.088617886,0.911382114,0.288049465
47,193.1924876,0.572145966,0.427854034,0.094308943,0.905691057,0.290733378
48,197.5418244,0.576498159,0.423501841,0.089430894,0.910569106,0.276691414
49,197.9180485,0.64747238,0.35252762,0.061788618,0.938211382,0.393858719
